Parallel Hierarchical Grid (version 0.9.4).
Total time cost = 10.864927

L2 error of rhs[0]: 0.000000
L2 error of rhs[1]: 0.000000
L2 error of rhs[2]: 0.000000
L2 error of rhs[3]: 0.000000
L2 error of rhs[4]: 0.000000
L2 error of rhs[5]: 0.000000
L2 error of rhs[6]: 0.000000
L2 error of rhs[7]: 0.000000
L2 error of rhs[8]: 0.000000
L2 error of rhs[9]: 0.000000
L2 error of rhs[10]: 0.013896
L2 error of rhs[11]: 0.000000
L2 error of rhs[12]: 0.000000
L2 error of rhs[13]: 0.000000
L2 error of rhs[14]: 0.510853
L2 error of rhs[15]: 0.313228
L2 error of rhs[16]: 0.313186
L2 error of rhs[17]: 0.505654
L2 error of rhs[18]: 0.303464
L2 error of rhs[19]: 0.495790
L2 error of rhs[20]: 0.008985
L2 error of rhs[21]: 0.000000
L2 error of rhs[22]: 0.000000
L2 error of rhs[23]: 0.000000
L2 error of rhs[24]: 0.187060
L2 error of rhs[25]: 0.093058
L2 error of rhs[26]: 0.094057
L2 error of rhs[27]: 0.148326
L2 error of rhs[28]: 0.079464
L2 error of rhs[29]: 0.146136
L2 error of rhs[30]: 0.008832
L2 error of rhs[31]: 0.000000
L2 error of rhs[32]: 0.000000
L2 error of rhs[33]: 0.000000
L2 error of rhs[34]: 0.146594
L2 error of rhs[35]: 0.095331
L2 error of rhs[36]: 0.079397
L2 error of rhs[37]: 0.180641
L2 error of rhs[38]: 0.093622
L2 error of rhs[39]: 0.141303
L2 error of rhs[40]: 0.008828
L2 error of rhs[41]: 0.000000
L2 error of rhs[42]: 0.000000
L2 error of rhs[43]: 0.000000
L2 error of rhs[44]: 0.149373
L2 error of rhs[45]: 0.077210
L2 error of rhs[46]: 0.094535
L2 error of rhs[47]: 0.141428
L2 error of rhs[48]: 0.089673
L2 error of rhs[49]: 0.180197
