Parallel Hierarchical Grid (version 0.9.4).
Total time cost = 103.737859

L2 error of rhs[0]: 0.000000
L2 error of rhs[1]: 0.000000
L2 error of rhs[2]: 0.000000
L2 error of rhs[3]: 0.000000
L2 error of rhs[4]: 0.000000
L2 error of rhs[5]: 0.000000
L2 error of rhs[6]: 0.000000
L2 error of rhs[7]: 0.000000
L2 error of rhs[8]: 0.000000
L2 error of rhs[9]: 0.000000
L2 error of rhs[10]: 0.002697
L2 error of rhs[11]: 0.000000
L2 error of rhs[12]: 0.000000
L2 error of rhs[13]: 0.000000
L2 error of rhs[14]: 0.115668
L2 error of rhs[15]: 0.073017
L2 error of rhs[16]: 0.072668
L2 error of rhs[17]: 0.113315
L2 error of rhs[18]: 0.070495
L2 error of rhs[19]: 0.112116
L2 error of rhs[20]: 0.002281
L2 error of rhs[21]: 0.000000
L2 error of rhs[22]: 0.000000
L2 error of rhs[23]: 0.000000
L2 error of rhs[24]: 0.045093
L2 error of rhs[25]: 0.023761
L2 error of rhs[26]: 0.023709
L2 error of rhs[27]: 0.039651
L2 error of rhs[28]: 0.022554
L2 error of rhs[29]: 0.039262
L2 error of rhs[30]: 0.002250
L2 error of rhs[31]: 0.000000
L2 error of rhs[32]: 0.000000
L2 error of rhs[33]: 0.000000
L2 error of rhs[34]: 0.039967
L2 error of rhs[35]: 0.023672
L2 error of rhs[36]: 0.022929
L2 error of rhs[37]: 0.043626
L2 error of rhs[38]: 0.023302
L2 error of rhs[39]: 0.038886
L2 error of rhs[40]: 0.002262
L2 error of rhs[41]: 0.000000
L2 error of rhs[42]: 0.000000
L2 error of rhs[43]: 0.000000
L2 error of rhs[44]: 0.040222
L2 error of rhs[45]: 0.022654
L2 error of rhs[46]: 0.023529
L2 error of rhs[47]: 0.039395
L2 error of rhs[48]: 0.022909
L2 error of rhs[49]: 0.043093
