Parallel Hierarchical Grid (version 0.9.4).
Total time cost = 336.326971

L2 error of rhs[0]: 0.000000
L2 error of rhs[1]: 0.000000
L2 error of rhs[2]: 0.000000
L2 error of rhs[3]: 0.000000
L2 error of rhs[4]: 0.000000
L2 error of rhs[5]: 0.000000
L2 error of rhs[6]: 0.000000
L2 error of rhs[7]: 0.000000
L2 error of rhs[8]: 0.000000
L2 error of rhs[9]: 0.000000
L2 error of rhs[10]: 0.008526
L2 error of rhs[11]: 0.000000
L2 error of rhs[12]: 0.000000
L2 error of rhs[13]: 0.000000
L2 error of rhs[14]: 0.312506
L2 error of rhs[15]: 0.193082
L2 error of rhs[16]: 0.191863
L2 error of rhs[17]: 0.304673
L2 error of rhs[18]: 0.186899
L2 error of rhs[19]: 0.303914
L2 error of rhs[20]: 0.007445
L2 error of rhs[21]: 0.000000
L2 error of rhs[22]: 0.000000
L2 error of rhs[23]: 0.000000
L2 error of rhs[24]: 0.133410
L2 error of rhs[25]: 0.068925
L2 error of rhs[26]: 0.068884
L2 error of rhs[27]: 0.120656
L2 error of rhs[28]: 0.062936
L2 error of rhs[29]: 0.119886
L2 error of rhs[30]: 0.007339
L2 error of rhs[31]: 0.000000
L2 error of rhs[32]: 0.000000
L2 error of rhs[33]: 0.000000
L2 error of rhs[34]: 0.121539
L2 error of rhs[35]: 0.069220
L2 error of rhs[36]: 0.064863
L2 error of rhs[37]: 0.129102
L2 error of rhs[38]: 0.066987
L2 error of rhs[39]: 0.118820
L2 error of rhs[40]: 0.007409
L2 error of rhs[41]: 0.000000
L2 error of rhs[42]: 0.000000
L2 error of rhs[43]: 0.000000
L2 error of rhs[44]: 0.121300
L2 error of rhs[45]: 0.064676
L2 error of rhs[46]: 0.068071
L2 error of rhs[47]: 0.120296
L2 error of rhs[48]: 0.066449
L2 error of rhs[49]: 0.128593
