Parallel Hierarchical Grid (version 0.9.4).
Total time cost = 1034.128193

L2 error of rhs[0]: 0.000000
L2 error of rhs[1]: 0.000000
L2 error of rhs[2]: 0.000000
L2 error of rhs[3]: 0.000000
L2 error of rhs[4]: 0.000000
L2 error of rhs[5]: 0.000000
L2 error of rhs[6]: 0.000000
L2 error of rhs[7]: 0.000000
L2 error of rhs[8]: 0.000000
L2 error of rhs[9]: 0.000000
L2 error of rhs[10]: 0.000592
L2 error of rhs[11]: 0.000000
L2 error of rhs[12]: 0.000000
L2 error of rhs[13]: 0.000000
L2 error of rhs[14]: 0.038297
L2 error of rhs[15]: 0.025223
L2 error of rhs[16]: 0.025034
L2 error of rhs[17]: 0.036567
L2 error of rhs[18]: 0.024171
L2 error of rhs[19]: 0.036840
L2 error of rhs[20]: 0.000362
L2 error of rhs[21]: 0.000000
L2 error of rhs[22]: 0.000000
L2 error of rhs[23]: 0.000000
L2 error of rhs[24]: 0.011607
L2 error of rhs[25]: 0.007011
L2 error of rhs[26]: 0.006916
L2 error of rhs[27]: 0.010243
L2 error of rhs[28]: 0.006435
L2 error of rhs[29]: 0.010290
L2 error of rhs[30]: 0.000355
L2 error of rhs[31]: 0.000000
L2 error of rhs[32]: 0.000000
L2 error of rhs[33]: 0.000000
L2 error of rhs[34]: 0.010624
L2 error of rhs[35]: 0.006917
L2 error of rhs[36]: 0.006663
L2 error of rhs[37]: 0.011032
L2 error of rhs[38]: 0.006653
L2 error of rhs[39]: 0.010253
L2 error of rhs[40]: 0.000359
L2 error of rhs[41]: 0.000000
L2 error of rhs[42]: 0.000000
L2 error of rhs[43]: 0.000000
L2 error of rhs[44]: 0.010508
L2 error of rhs[45]: 0.006663
L2 error of rhs[46]: 0.006755
L2 error of rhs[47]: 0.010239
L2 error of rhs[48]: 0.006655
L2 error of rhs[49]: 0.011083
